Price,Close,High,Low,Open,Volume
Ticker,INFY.NS,INFY.NS,INFY.NS,INFY.NS,INFY.NS
Date,,,,,
2020-01-01,642.843994140625,645.5921441617554,639.0925909796357,641.2300350795813,2112415
2020-01-02,640.9682006835938,646.2899514806122,637.6530090437269,644.6323822848748,5658200
2020-01-03,650.82666015625,652.5715037491622,640.2703777184914,640.2703777184914,7882938
2020-01-06,644.5887451171875,657.6314600477452,642.5385754426278,650.9138023771454,6519403
2020-01-07,635.0357055664062,647.8602605205537,632.5928824814365,643.847142449627,7899363
2020-01-08,626.5732421875,635.9953853955332,617.9362465185743,632.4620883485698,8639443
2020-01-09,634.7303466796875,638.1764227701614,623.1707600744863,629.6267014401435,13521186
2020-01-10,643.9781494140625,648.1221528124839,637.3041015888241,645.9847088309867,9341405
2020-01-13,674.8617553710938,678.3078315314464,658.6783444453273,663.0404526866871,36952038
2020-01-14,676.6939086914062,677.8280462446663,669.3219347226236,671.7210943826869,11414418
2020-01-15,669.6273803710938,675.1236273768502,664.9163343297613,675.1236273768502,6047430
2020-01-16,669.1475219726562,673.9458418824993,663.2586748105762,672.3754932889582,5740586
2020-01-17,669.8889770507812,674.2947492082234,665.003436859274,672.3754108299904,3762957
2020-01-20,670.4124145507812,675.6033339169817,665.614095569122,673.1605107457881,3887680
2020-01-21,665.2216186523438,672.2009930119749,663.6948805111745,670.4125389819995,4448374
2020-01-22,671.9391479492188,678.7440259920055,668.2749664651366,670.4124101015503,9733935
2020-01-23,684.2839965820312,685.2873029206764,677.6100019653888,677.958938725666,12528017
2020-01-24,682.8880615234375,686.1596427827321,674.9053819514014,676.7811098394208,7540490
2020-01-27,678.8313598632812,684.6765963885423,675.6034419038439,679.6601711968121,3741610
2020-01-28,678.7440185546875,682.0592100521918,673.5094888486102,681.3612834077262,5121009
2020-01-29,688.9514770507812,691.65596321735,684.1967677916473,686.246937635814,6832757
2020-01-30,681.099609375,688.9514044160246,678.744060213014,688.9514044160246,3859680
